timestamp,workout,background,total,data source
2026-04-08T19:30:00Z,0.0,0.22710367933646378,0.22710367933646378,Inspire 3
2026-04-08T19:31:00Z,0.0,0.23323782382914857,0.23323782382914857,Inspire 3
2026-04-08T19:33:00Z,0.0,0.2547827018938467,0.2547827018938467,Inspire 3
2026-04-08T19:34:00Z,0.0,0.2709354438913017,0.2709354438913017,Inspire 3
2026-04-08T19:35:00Z,0.0,0.5169970258444098,0.5169970258444098,Inspire 3
2026-04-08T19:36:00Z,0.0,0.5169036708271861,0.5169036708271861,Inspire 3
2026-04-08T19:37:00Z,0.0,0.25280916184534447,0.25280916184534447,Inspire 3
2026-04-08T19:38:00Z,0.0,0.22929667224162711,0.22929667224162711,Inspire 3
2026-04-08T19:39:00Z,0.0,0.6300435664611377,0.6300435664611377,Inspire 3
2026-04-08T19:40:00Z,0.0,0.29432574373466963,0.29432574373466963,Inspire 3
2026-04-08T19:41:00Z,0.0,0.28532956772029655,0.28532956772029655,Inspire 3
2026-04-08T19:42:00Z,0.0,0.25618125481641174,0.25618125481641174,Inspire 3
2026-04-08T19:43:00Z,0.0,0.2427370278866639,0.2427370278866639,Inspire 3
2026-04-08T19:44:00Z,0.0,0.2668287180236085,0.2668287180236085,Inspire 3
2026-04-08T19:45:00Z,0.0,0.21550898437746283,0.21550898437746283,Inspire 3
2026-04-08T19:47:00Z,0.0,0.3104118034639201,0.3104118034639201,Inspire 3
2026-04-08T19:48:00Z,0.0,0.2551319154039095,0.2551319154039095,Inspire 3
2026-04-08T19:49:00Z,0.0,0.2776866069681546,0.2776866069681546,Inspire 3
2026-04-08T19:50:00Z,0.0,0.5031608412873023,0.5031608412873023,Inspire 3
2026-04-08T19:51:00Z,0.0,0.25220977765862646,0.25220977765862646,Inspire 3
2026-04-08T19:52:00Z,0.0,0.2347285712357988,0.2347285712357988,Inspire 3
2026-04-08T19:53:00Z,0.0,0.21387857804910318,0.21387857804910318,Inspire 3
2026-04-08T19:58:00Z,0.0,0.27855595452551885,0.27855595452551885,Inspire 3
2026-04-08T19:59:00Z,0.0,0.24898756658829005,0.24898756658829005,Inspire 3
2026-04-08T20:00:00Z,0.0,0.5399120475397888,0.5399120475397888,Inspire 3
2026-04-08T20:01:00Z,0.0,0.26565820952295405,0.26565820952295405,Inspire 3
2026-04-08T20:05:00Z,0.0,0.26406444463097023,0.26406444463097023,Inspire 3
2026-04-08T20:06:00Z,0.0,0.2534814687914988,0.2534814687914988,Inspire 3
2026-04-08T20:07:00Z,0.0,0.27168618156044216,0.27168618156044216,Inspire 3
2026-04-08T20:10:00Z,0.0,0.2254162889645706,0.2254162889645706,Inspire 3
2026-04-08T20:11:00Z,0.0,0.25267999281482095,0.25267999281482095,Inspire 3
2026-04-08T20:12:00Z,0.0,0.30872885564688385,0.30872885564688385,Inspire 3
2026-04-08T20:13:00Z,0.0,0.2461437784332237,0.2461437784332237,Inspire 3
2026-04-08T20:14:00Z,0.0,0.2741202192618015,0.2741202192618015,Inspire 3
2026-04-08T20:21:00Z,0.0,0.23828236236156028,0.23828236236156028,Inspire 3
2026-04-08T20:22:00Z,0.0,0.22144009553634186,0.22144009553634186,Inspire 3
2026-04-08T20:23:00Z,0.0,0.2201629616246211,0.2201629616246211,Inspire 3
2026-04-08T20:25:00Z,0.0,0.25234611549900693,0.25234611549900693,Inspire 3
2026-04-08T20:26:00Z,0.0,0.3280292623817466,0.3280292623817466,Inspire 3
2026-04-08T20:28:00Z,0.0,0.21906913190356384,0.21906913190356384,Inspire 3
2026-04-08T20:29:00Z,0.0,0.22432020761099125,0.22432020761099125,Inspire 3
2026-04-08T20:31:00Z,0.0,0.23170184736014726,0.23170184736014726,Inspire 3
2026-04-08T20:32:00Z,0.0,0.22641536012263513,0.22641536012263513,Inspire 3
2026-04-08T20:33:00Z,0.0,0.23015906374315007,0.23015906374315007,Inspire 3
2026-04-08T20:36:00Z,0.0,0.2302499494772292,0.2302499494772292,Inspire 3
