timestamp,lap time,stroke count,stroke type,data source
2026-04-09T00:46:10Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:47:47Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:49:56Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:50:27Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:52:43Z,00:00:24.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:55:01Z,00:00:47.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:56:08Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T00:57:20Z,00:00:25.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T03:23:45Z,00:00:31.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:51:36Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:52:24Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:53:22Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:55:05Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:56:01Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T13:56:56Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T16:04:16Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T18:49:57Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T18:50:09Z,00:00:15.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T19:59:55Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T20:00:28Z,00:00:45.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T20:32:36Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T20:37:35Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-09T21:18:59Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T00:50:14Z,00:00:21.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T00:50:58Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
