timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-04-08T02:35:00Z,0,0,0,Inspire 3
2026-04-08T02:35:01Z,0,0,0,Inspire 3
2026-04-08T02:35:02Z,0,0,0,Inspire 3
2026-04-08T02:35:03Z,0,0,0,Inspire 3
2026-04-08T02:35:04Z,0,0,0,Inspire 3
2026-04-08T02:35:05Z,0,0,0,Inspire 3
2026-04-08T02:35:06Z,0,0,0,Inspire 3
2026-04-08T02:35:07Z,0,0,0,Inspire 3
2026-04-08T02:35:08Z,0,0,0,Inspire 3
2026-04-08T02:35:09Z,0,0,0,Inspire 3
2026-04-08T02:35:10Z,0,0,0,Inspire 3
2026-04-08T02:35:11Z,0,0,0,Inspire 3
2026-04-08T02:35:12Z,0,0,0,Inspire 3
2026-04-08T02:35:13Z,0,0,0,Inspire 3
2026-04-08T02:35:14Z,0,0,0,Inspire 3
2026-04-08T02:35:15Z,0,0,0,Inspire 3
2026-04-08T02:35:16Z,0,0,0,Inspire 3
2026-04-08T02:35:17Z,0,0,0,Inspire 3
2026-04-08T02:35:18Z,0,0,0,Inspire 3
2026-04-08T02:35:19Z,0,0,0,Inspire 3
2026-04-08T02:35:20Z,0,0,0,Inspire 3
2026-04-08T02:35:21Z,0,0,0,Inspire 3
2026-04-08T02:35:22Z,0,0,0,Inspire 3
2026-04-08T02:35:23Z,0,0,0,Inspire 3
2026-04-08T02:35:24Z,0,0,0,Inspire 3
2026-04-08T02:35:25Z,0,0,0,Inspire 3
2026-04-08T02:35:26Z,0,0,0,Inspire 3
2026-04-08T02:35:27Z,0,0,0,Inspire 3
2026-04-08T02:35:28Z,0,0,0,Inspire 3
2026-04-08T02:35:29Z,0,0,0,Inspire 3
2026-04-08T02:35:30Z,0,0,0,Inspire 3
2026-04-08T02:35:31Z,0,0,0,Inspire 3
2026-04-08T02:35:32Z,0,0,0,Inspire 3
2026-04-08T02:35:33Z,0,0,0,Inspire 3
2026-04-08T02:35:34Z,0,0,0,Inspire 3
2026-04-08T02:35:35Z,0,0,0,Inspire 3
2026-04-08T02:35:36Z,0,0,0,Inspire 3
2026-04-08T02:35:37Z,0,0,0,Inspire 3
2026-04-08T02:35:38Z,0,0,0,Inspire 3
2026-04-08T02:35:39Z,2,0,0,Inspire 3
2026-04-08T02:35:40Z,2,0,0,Inspire 3
2026-04-08T02:35:41Z,0,0,0,Inspire 3
2026-04-08T02:35:42Z,0,0,0,Inspire 3
2026-04-08T02:35:43Z,0,0,0,Inspire 3
2026-04-08T02:35:44Z,0,0,0,Inspire 3
2026-04-08T02:35:45Z,0,0,0,Inspire 3
2026-04-08T02:35:46Z,0,0,0,Inspire 3
2026-04-08T02:35:47Z,0,0,0,Inspire 3
2026-04-08T02:35:48Z,0,0,0,Inspire 3
2026-04-08T02:35:49Z,0,0,0,Inspire 3
2026-04-08T02:35:50Z,0,0,0,Inspire 3
2026-04-08T02:35:51Z,0,0,0,Inspire 3
2026-04-08T02:35:52Z,0,0,0,Inspire 3
2026-04-08T02:35:53Z,0,0,0,Inspire 3
2026-04-08T02:35:54Z,4,0,0,Inspire 3
2026-04-08T02:35:55Z,2,0,0,Inspire 3
2026-04-08T02:35:56Z,1,0,0,Inspire 3
2026-04-08T02:35:57Z,1,0,0,Inspire 3
2026-04-08T02:35:58Z,1,0,0,Inspire 3
2026-04-08T02:35:59Z,0,0,0,Inspire 3
2026-04-08T02:36:00Z,0,0,0,Inspire 3
2026-04-08T02:36:01Z,0,0,0,Inspire 3
2026-04-08T02:36:02Z,0,0,0,Inspire 3
2026-04-08T02:36:03Z,0,0,0,Inspire 3
2026-04-08T02:36:04Z,0,0,0,Inspire 3
2026-04-08T02:36:05Z,0,0,0,Inspire 3
2026-04-08T02:36:06Z,0,0,0,Inspire 3
2026-04-08T02:36:07Z,0,0,0,Inspire 3
2026-04-08T02:36:08Z,0,0,0,Inspire 3
2026-04-08T02:36:09Z,0,0,0,Inspire 3
2026-04-08T02:36:10Z,0,0,0,Inspire 3
2026-04-08T02:36:11Z,0,0,0,Inspire 3
2026-04-08T02:36:12Z,0,0,0,Inspire 3
2026-04-08T02:36:13Z,0,0,0,Inspire 3
2026-04-08T02:36:14Z,0,0,0,Inspire 3
2026-04-08T02:36:15Z,0,0,0,Inspire 3
2026-04-08T02:36:16Z,0,0,0,Inspire 3
2026-04-08T02:36:17Z,0,0,0,Inspire 3
2026-04-08T02:36:18Z,0,0,0,Inspire 3
2026-04-08T02:36:19Z,0,0,0,Inspire 3
2026-04-08T02:36:20Z,0,0,0,Inspire 3
2026-04-08T02:36:21Z,0,0,0,Inspire 3
2026-04-08T02:36:22Z,0,0,0,Inspire 3
2026-04-08T02:36:23Z,0,0,0,Inspire 3
2026-04-08T02:36:24Z,0,0,0,Inspire 3
2026-04-08T02:36:25Z,0,0,0,Inspire 3
2026-04-08T02:36:26Z,0,0,0,Inspire 3
2026-04-08T02:36:27Z,0,0,0,Inspire 3
2026-04-08T02:36:28Z,0,0,0,Inspire 3
2026-04-08T02:36:29Z,0,0,0,Inspire 3
2026-04-08T02:36:30Z,0,0,0,Inspire 3
2026-04-08T02:36:31Z,0,0,0,Inspire 3
2026-04-08T02:36:32Z,0,0,0,Inspire 3
2026-04-08T02:36:33Z,0,0,0,Inspire 3
2026-04-08T02:36:34Z,0,0,0,Inspire 3
2026-04-08T02:36:35Z,0,0,0,Inspire 3
2026-04-08T02:36:36Z,0,0,0,Inspire 3
2026-04-08T02:36:37Z,0,0,0,Inspire 3
2026-04-08T02:36:38Z,0,0,0,Inspire 3
2026-04-08T02:36:39Z,0,0,0,Inspire 3
2026-04-08T02:36:40Z,0,0,0,Inspire 3
2026-04-08T02:36:41Z,0,0,0,Inspire 3
2026-04-08T02:36:42Z,0,0,0,Inspire 3
2026-04-08T02:36:43Z,4,0,0,Inspire 3
2026-04-08T02:36:44Z,1,0,0,Inspire 3
2026-04-08T02:36:45Z,1,0,0,Inspire 3
2026-04-08T02:36:46Z,3,0,0,Inspire 3
2026-04-08T02:36:47Z,1,0,0,Inspire 3
2026-04-08T02:36:48Z,0,0,0,Inspire 3
2026-04-08T02:36:49Z,0,0,0,Inspire 3
2026-04-08T02:36:50Z,4,0,0,Inspire 3
2026-04-08T02:36:51Z,1,0,0,Inspire 3
2026-04-08T02:36:52Z,2,0,0,Inspire 3
2026-04-08T02:36:53Z,1,0,0,Inspire 3
2026-04-08T02:36:54Z,0,0,0,Inspire 3
2026-04-08T02:36:55Z,0,0,0,Inspire 3
2026-04-08T02:36:56Z,0,0,0,Inspire 3
2026-04-08T02:36:57Z,4,0,0,Inspire 3
2026-04-08T02:36:58Z,1,0,0,Inspire 3
2026-04-08T02:36:59Z,0,0,0,Inspire 3
2026-04-08T02:37:00Z,0,0,0,Inspire 3
2026-04-08T02:37:01Z,0,0,0,Inspire 3
2026-04-08T02:37:02Z,4,0,0,Inspire 3
2026-04-08T02:37:03Z,3,0,0,Inspire 3
2026-04-08T02:37:04Z,2,0,0,Inspire 3
2026-04-08T02:37:05Z,1,0,0,Inspire 3
2026-04-08T02:37:06Z,1,0,0,Inspire 3
2026-04-08T02:37:07Z,2,0,0,Inspire 3
2026-04-08T02:37:08Z,0,0,0,Inspire 3
2026-04-08T02:37:09Z,0,0,0,Inspire 3
2026-04-08T02:37:10Z,0,0,0,Inspire 3
2026-04-08T02:37:11Z,4,0,0,Inspire 3
2026-04-08T02:37:12Z,0,0,0,Inspire 3
2026-04-08T02:37:13Z,0,0,0,Inspire 3
2026-04-08T02:37:14Z,0,0,0,Inspire 3
2026-04-08T02:37:15Z,0,0,0,Inspire 3
2026-04-08T02:37:16Z,4,0,0,Inspire 3
2026-04-08T02:37:17Z,1,0,0,Inspire 3
2026-04-08T02:37:18Z,0,0,0,Inspire 3
2026-04-08T02:37:19Z,2,0,0,Inspire 3
2026-04-08T02:37:20Z,2,0,0,Inspire 3
2026-04-08T02:37:21Z,0,0,0,Inspire 3
2026-04-08T02:37:22Z,0,0,0,Inspire 3
