timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-11T06:55:00Z,14.2,0.0,Fitbit App
2026-04-11T07:00:00Z,16.7,0.0,Fitbit App
2026-04-11T07:05:00Z,13.9,0.0,Fitbit App
2026-04-11T07:10:00Z,14.0,0.0,Fitbit App
2026-04-11T07:15:00Z,15.4,0.0,Fitbit App
2026-04-11T07:20:00Z,18.3,0.0,Fitbit App
2026-04-11T07:25:00Z,18.3,0.0,Fitbit App
2026-04-11T07:30:00Z,18.1,0.0,Fitbit App
2026-04-11T07:35:00Z,15.6,0.0,Fitbit App
2026-04-11T07:40:00Z,16.4,0.0,Fitbit App
2026-04-11T07:45:00Z,19.0,0.0,Fitbit App
2026-04-11T07:50:00Z,17.8,0.0,Fitbit App
2026-04-11T07:55:00Z,19.2,0.0,Fitbit App
2026-04-11T08:00:00Z,19.5,0.0,Fitbit App
2026-04-11T08:05:00Z,15.5,0.0,Fitbit App
2026-04-11T08:10:00Z,17.1,0.0,Fitbit App
2026-04-11T08:15:00Z,19.4,0.0,Fitbit App
2026-04-11T08:20:00Z,17.7,0.0,Fitbit App
2026-04-11T08:25:00Z,13.3,0.0,Fitbit App
2026-04-11T08:30:00Z,15.4,0.0,Fitbit App
2026-04-11T08:35:00Z,16.7,0.0,Fitbit App
2026-04-11T08:40:00Z,19.1,0.0,Fitbit App
2026-04-11T08:45:00Z,17.6,0.0,Fitbit App
2026-04-11T08:50:00Z,18.2,0.0,Fitbit App
2026-04-11T09:05:00Z,14.7,0.0,Fitbit App
2026-04-11T09:10:00Z,17.4,0.0,Fitbit App
2026-04-11T09:15:00Z,22.2,0.0,Fitbit App
2026-04-11T09:20:00Z,22.5,0.0,Fitbit App
2026-04-11T09:25:00Z,22.8,0.0,Fitbit App
2026-04-11T09:30:00Z,21.3,0.0,Fitbit App
2026-04-11T09:35:00Z,25.4,0.0,Fitbit App
2026-04-11T09:40:00Z,24.2,0.0,Fitbit App
2026-04-11T09:45:00Z,18.6,0.0,Fitbit App
