timestamp,steps,data source
2026-04-08T02:45:00Z,14,Inspire 3
2026-04-08T02:47:00Z,10,Inspire 3
2026-04-08T02:49:00Z,10,Inspire 3
2026-04-08T02:50:00Z,23,Inspire 3
2026-04-08T02:51:00Z,11,Inspire 3
2026-04-08T02:57:00Z,7,Inspire 3
2026-04-08T03:06:00Z,7,Inspire 3
2026-04-08T03:59:00Z,7,Inspire 3
2026-04-08T04:02:00Z,22,Inspire 3
2026-04-08T04:07:00Z,9,Inspire 3
2026-04-08T04:34:00Z,7,Inspire 3
2026-04-08T04:35:00Z,4,Inspire 3
2026-04-08T05:23:00Z,15,Inspire 3
2026-04-08T05:25:00Z,10,Inspire 3
2026-04-08T05:26:00Z,17,Inspire 3
2026-04-08T05:28:00Z,10,Inspire 3
2026-04-08T06:36:00Z,17,Inspire 3
2026-04-08T06:37:00Z,16,Inspire 3
2026-04-08T06:39:00Z,24,Inspire 3
2026-04-08T07:51:00Z,6,Inspire 3
2026-04-08T07:52:00Z,8,Inspire 3
2026-04-08T08:01:00Z,6,Inspire 3
2026-04-08T08:02:00Z,7,Inspire 3
2026-04-08T08:28:00Z,7,Inspire 3
2026-04-08T09:46:00Z,12,Inspire 3
2026-04-08T15:31:00Z,15,Inspire 3
2026-04-08T15:32:00Z,4,Inspire 3
2026-04-08T15:33:00Z,12,Inspire 3
2026-04-08T15:35:00Z,4,Inspire 3
2026-04-08T15:56:00Z,9,Inspire 3
2026-04-08T15:57:00Z,9,Inspire 3
2026-04-08T16:09:00Z,8,Inspire 3
2026-04-08T16:11:00Z,29,Inspire 3
2026-04-08T16:34:00Z,10,Inspire 3
2026-04-08T16:44:00Z,14,Inspire 3
2026-04-08T16:45:00Z,8,Inspire 3
2026-04-08T16:46:00Z,14,Inspire 3
2026-04-08T16:47:00Z,17,Inspire 3
2026-04-08T16:48:00Z,16,Inspire 3
2026-04-08T18:38:00Z,11,Inspire 3
2026-04-08T18:39:00Z,45,Inspire 3
2026-04-08T18:40:00Z,26,Inspire 3
2026-04-08T18:50:00Z,19,Inspire 3
2026-04-08T18:51:00Z,6,Inspire 3
2026-04-08T19:13:00Z,10,Inspire 3
2026-04-08T19:14:00Z,6,Inspire 3
2026-04-08T19:15:00Z,12,Inspire 3
2026-04-08T19:16:00Z,4,Inspire 3
2026-04-08T19:17:00Z,17,Inspire 3
2026-04-08T19:18:00Z,31,Inspire 3
2026-04-08T19:19:00Z,30,Inspire 3
2026-04-08T19:20:00Z,28,Inspire 3
2026-04-08T19:21:00Z,32,Inspire 3
2026-04-08T19:22:00Z,53,Inspire 3
2026-04-08T19:23:00Z,42,Inspire 3
2026-04-08T19:24:00Z,27,Inspire 3
2026-04-08T19:25:00Z,45,Inspire 3
2026-04-08T19:26:00Z,25,Inspire 3
2026-04-08T19:28:00Z,38,Inspire 3
2026-04-08T19:30:00Z,27,Inspire 3
2026-04-08T19:31:00Z,42,Inspire 3
2026-04-08T19:32:00Z,46,Inspire 3
2026-04-08T19:33:00Z,41,Inspire 3
2026-04-08T19:34:00Z,65,Inspire 3
2026-04-08T19:35:00Z,33,Inspire 3
2026-04-08T19:36:00Z,10,Inspire 3
2026-04-08T19:37:00Z,8,Inspire 3
2026-04-08T19:38:00Z,4,Inspire 3
2026-04-08T19:39:00Z,19,Inspire 3
2026-04-08T19:43:00Z,11,Inspire 3
2026-04-08T19:44:00Z,9,Inspire 3
2026-04-08T19:47:00Z,10,Inspire 3
2026-04-08T19:50:00Z,4,Inspire 3
2026-04-08T19:51:00Z,9,Inspire 3
2026-04-08T19:52:00Z,11,Inspire 3
2026-04-08T19:53:00Z,10,Inspire 3
2026-04-08T19:58:00Z,10,Inspire 3
2026-04-08T20:00:00Z,10,Inspire 3
2026-04-08T20:01:00Z,8,Inspire 3
2026-04-08T20:05:00Z,19,Inspire 3
2026-04-08T20:06:00Z,29,Inspire 3
2026-04-08T20:08:00Z,18,Inspire 3
2026-04-08T20:09:00Z,41,Inspire 3
2026-04-08T20:12:00Z,6,Inspire 3
2026-04-08T20:13:00Z,83,Inspire 3
2026-04-08T20:14:00Z,47,Inspire 3
2026-04-08T20:20:00Z,85,Inspire 3
2026-04-08T20:21:00Z,28,Inspire 3
2026-04-08T20:22:00Z,4,Inspire 3
2026-04-08T20:24:00Z,40,Inspire 3
2026-04-08T20:25:00Z,70,Inspire 3
2026-04-08T20:28:00Z,11,Inspire 3
2026-04-08T20:29:00Z,15,Inspire 3
2026-04-08T20:30:00Z,20,Inspire 3
2026-04-08T20:31:00Z,39,Inspire 3
2026-04-08T20:32:00Z,25,Inspire 3
2026-04-08T20:33:00Z,8,Inspire 3
2026-04-08T20:35:00Z,27,Inspire 3
2026-04-08T20:36:00Z,3,Inspire 3
2026-04-08T20:40:00Z,37,Inspire 3
2026-04-08T20:41:00Z,16,Inspire 3
2026-04-08T20:42:00Z,22,Inspire 3
2026-04-08T20:43:00Z,33,Inspire 3
2026-04-08T20:44:00Z,12,Inspire 3
